longitude,latitude,Feature:string,GLF#:integer,parent_ima:string,glf_head_e:double,glf_head_l:double,glf_termin:double,glf_termin1:double,midchannel:double,midchannel1:double,midchannel2:double,midchannel3:double,center_e_l:double,center_lat:double,glf_length:double,glf_width_:double,glf_area_s:double,glf_orient:double,buffer_min:double,buffer_max:double,buffer_mea:double,buffer_std:double,elongation:double,Fill Color:color
279.55676,49.558,point,25,P19_008537_2285_XI_48N080W,279.511,49.5454,279.6025,49.5794,279.5601,49.5508,279.5527,49.5652,279.56,49.56,4.05,0.9,3.65,60.16,-2406.0,-573.0,-1403.69,651.63,4.51,0 204 255
278.405,49.7058,point,26,P18_008102_2285_XI_48N081W,278.3779,49.6756,278.4321,49.7468,278.4546,49.6931,278.3613,49.7185,278.41,49.71,4.7,3.88,18.25,26.19,-1815.0,1198.0,-575.1,885.12,1.21,0 204 255
278.56784,49.63065,point,27,P18_008102_2285_XI_48N081W,278.4995,49.657,278.6362,49.6287,278.5571,49.6204,278.563,49.6409,278.57,49.63,5.51,1.24,6.81,107.68,-2037.0,31.0,-1532.73,351.48,4.46,0 204 255
278.54105,49.6084,point,28,P18_008102_2285_XI_48N081W,278.48,49.5984,278.6021,49.5979,278.5361,49.6008,278.5361,49.616,278.54,49.61,4.69,0.9,4.23,90.32,-1951.0,1141.0,-851.18,874.34,5.21,0 204 255
278.40134,49.46475,point,29,P18_008102_2285_XI_48N081W,278.4121,49.4863,278.3906,49.4456,278.3889,49.4688,278.4155,49.4607,278.4,49.46,2.55,1.13,2.89,198.96,-1704.0,1259.0,-429.95,743.4,2.25,0 204 255
278.15234,48.0503,point,30,P22_009460_2273_XI_47N081W,278.1987,48.0266,278.106,48.0681,278.1587,48.0657,278.1348,48.0349,278.15,48.05,4.42,2.06,9.09,303.84,-531.0,1192.0,485.32,523.95,2.15,0 204 255
277.11569,46.14065,point,31,P15_007021_2276_XN_47N082W,277.2446,46.1389,276.9868,46.1424,277.0806,46.1541,277.0767,46.1272,277.12,46.14,10.59,1.6,16.97,271.22,-209.0,2148.0,532.11,673.49,6.61,0 204 255
277.10721,45.94825,point,32,P15_007021_2276_XN_47N082W,277.1973,45.989,277.0171,45.9368,277.0972,45.9607,277.1025,45.9358,277.11,45.95,8.04,1.49,12.0,247.44,-159.0,2095.0,642.77,639.89,5.39,0 204 255
278.04099,47.9707,point,33,P16_007166_2283_XN_48N082W,278.1064,47.9109,277.9756,48.0008,278.0486,47.9763,278.0422,47.9651,278.04,47.97,7.44,0.71,5.29,315.79,-400.0,625.0,212.48,142.49,10.47,0 204 255
278.14261,49.21965,point,34,P16_007166_2283_XN_48N082W,278.146,49.2427,278.1392,49.2049,278.1299,49.2244,278.1587,49.2149,278.14,49.22,2.26,1.25,2.82,186.7,-1761.0,-648.0,-1498.57,222.68,1.81,0 204 255
